City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Minab,IR,2022-06-12 06:24:34,27.1467,57.0801,93.61,53,1,7.65
265,Zhanakorgan,KZ,2022-06-12 06:24:34,43.9098,67.2495,83.97,29,37,5.7
266,Rawson,AR,2022-06-12 06:24:35,-43.3002,-65.1023,56.66,27,100,12.59
267,Los Llanos De Aridane,ES,2022-06-12 06:24:35,28.6585,-17.9182,65.95,93,75,13.8
268,Dombarovskiy,RU,2022-06-12 06:24:35,50.7587,59.5386,71.01,51,91,6.71
269,Moyo,UG,2022-06-12 06:24:36,3.6609,31.7247,73.51,67,49,2.42
270,Eyrarbakki,IS,2022-06-12 06:24:36,63.863,-21.1481,50.2,78,95,7.76
271,Konigs Wusterhausen,DE,2022-06-12 06:24:36,52.3014,13.633,69.06,78,0,2.3
272,Mar Del Plata,AR,2022-06-12 06:24:37,-38.0023,-57.5575,41.95,94,0,3.44
273,Tiznit,MA,2022-06-12 06:24:37,29.5833,-9.5,69.48,72,32,1.77
274,Newcastleton,GB,2022-06-12 06:24:37,55.1796,-2.8127,53.04,90,94,12.3
275,Caraballeda,VE,2022-06-12 06:24:37,10.6112,-66.8522,80.37,79,40,3.44
276,Nuuk,GL,2022-06-12 06:24:38,64.1835,-51.7216,39.81,87,75,9.22
277,Hvolsvollur,IS,2022-06-12 06:24:38,63.7533,-20.2243,49.46,74,100,9.44
278,Sorland,NO,2022-06-12 06:24:38,67.667,12.6934,49.86,92,100,3.58
279,Isoka,ZM,2022-06-12 06:24:39,-10.1606,32.6335,58.48,68,4,6.38
280,Secunda,ZA,2022-06-12 06:24:39,-26.55,29.1667,45.3,79,0,3.27
281,Porto Novo,BJ,2022-06-12 06:25:39,6.4965,2.6036,75.02,94,100,3.51
282,Gaoua,BF,2022-06-12 06:25:40,10.2992,-3.2508,72.99,89,64,5.26
283,Kologriv,RU,2022-06-12 06:25:40,58.8275,44.3178,58.19,43,3,9.08
284,Guanica,PR,2022-06-12 06:25:40,17.9716,-66.908,80.91,81,61,11.56
285,Odesskoye,RU,2022-06-12 06:21:21,54.2111,72.9651,74.16,41,78,18.59
286,Hattiesburg,US,2022-06-12 06:25:41,31.3271,-89.2903,75.65,98,0,0.0
287,Karasjok,NO,2022-06-12 06:25:41,69.4719,25.5112,51.51,82,100,15.55
288,Eyl,SO,2022-06-12 06:25:41,7.9803,49.8164,87.13,51,90,30.51
289,Abha,SA,2022-06-12 06:25:42,18.2164,42.5053,84.02,9,0,4.61
290,Canutama,BR,2022-06-12 06:25:42,-6.5339,-64.3831,68.68,86,100,4.43
